Tag Length (Average tag length = 68.440396)	Fraction of Tags
0	0.000000
1	0.000456
2	0.000455
3	0.000484
4	0.000480
5	0.000469
6	0.000529
7	0.000483
8	0.000529
9	0.000522
10	0.002907
11	0.003086
12	0.003139
13	0.002962
14	0.002991
15	0.003247
16	0.003135
17	0.003051
18	0.003346
19	0.003121
20	0.003129
21	0.003360
22	0.003163
23	0.003075
24	0.003248
25	0.003192
26	0.003137
27	0.003285
28	0.003188
29	0.003196
30	0.003308
31	0.003188
32	0.003104
33	0.003291
34	0.003085
35	0.003079
36	0.003292
37	0.003200
38	0.003138
39	0.003271
40	0.003105
41	0.003123
42	0.003377
43	0.003156
44	0.003231
45	0.003359
46	0.003224
47	0.003135
48	0.003376
49	0.003274
50	0.003295
51	0.003603
52	0.003445
53	0.003507
54	0.003686
55	0.003536
56	0.003541
57	0.003779
58	0.003585
59	0.003619
60	0.003792
61	0.003602
62	0.003597
63	0.003653
64	0.003765
65	0.003958
66	0.003927
67	0.002788
68	0.003843
69	0.004775
70	0.005065
71	0.005441
72	0.006169
73	0.006439
74	0.014893
75	0.028246
76	0.728768
