ID	Length	SRR7537187_sorted
ENSG00000105723.12	5999	459.5
ENSG00000272088.1	3999	198.5
ENSG00000233885.7	6499	365.0
ENSG00000074276.10	3999	780.0
ENSG00000159263.15	4999	695.5
ENSG00000113812.14	4999	1383.5
ENSG00000237938.5	4499	374.0
ENSG00000152455.15	5499	395.5
ENSG00000261385.1	3999	577.5
ENSG00000288066.1	4999	1728.5
ENSG00000163918.10	6499	17715.5
ENSG00000205643.11	8999	918.0
ENSG00000251330.3	6499	677.0
ENSG00000257433.6	16999	994.5
ENSG00000287482.1	7499	639.0
ENSG00000170145.5	11999	1329.0
ENSG00000180376.16	3999	485.5
ENSG00000221821.4	10999	4909.0
ENSG00000256690.1	7999	53557.0
ENSG00000276988.1	4999	257.0
ENSG00000259572.7	3999	51.5
ENSG00000143553.10	4499	3020.0
ENSG00000008323.15	13999	1959.5
ENSG00000254960.2	7999	144.0
ENSG00000100652.5	9499	3969.0
ENSG00000165646.14	8499	3010.0
ENSG00000148842.18	4499	342.0
ENSG00000104885.18	3999	1456.5
ENSG00000240095.1	99999	15596.5
ENSG00000227279.1	5499	83.0
ENSG00000261691.1	13499	382.5
ENSG00000205981.8	16999	2765.0
ENSG00000285928.1	6999	770.0
ENSG00000250106.1	8999	459.0
ENSG00000008277.14	13499	2626.0
ENSG00000086619.13	8499	530.0
ENSG00000233783.8	5499	1815.5
ENSG00000256928.1	5499	318.5
ENSG00000277978.1	7999	322.5
ENSG00000163328.13	3999	245.0
ENSG00000108518.7	3999	751.5
ENSG00000163521.16	6499	2183.5
ENSG00000234793.1	3999	87.5
ENSG00000253445.1	7499	6613.0
ENSG00000256658.1	6499	1749.0
ENSG00000286588.1	8999	1051.5
ENSG00000137497.17	12999	1017.0
ENSG00000212240.1	5499	340.0
ENSG00000148356.13	17999	17292.0
ENSG00000272223.1	4999	953.5
ENSG00000123552.17	6999	141.0
ENSG00000255252.3	6499	1391.5
ENSG00000187642.9	8999	240.5
ENSG00000270871.1	7499	225.0
