ID	Length	SRR7537187_sorted
ENSG00000197958.13	3999	1.07
ENSG00000287562.1	7999	1.42
ENSG00000279172.1	4499	1.24
ENSG00000263466.1	9999	1.72
ENSG00000115419.12	25999	4.22
ENSG00000275263.1	10999	4.21
ENSG00000165646.14	8499	9.11
ENSG00000259715.1	3999	2.14
ENSG00000104679.11	35999	10.71
ENSG00000223815.2	4999	0.38
ENSG00000092203.14	4999	3.69
ENSG00000283320.1	10499	1.71
ENSG00000198690.10	12499	1.45
ENSG00000105856.14	9499	2.01
ENSG00000269646.1	5999	0.83
ENSG00000106853.20	8499	0.87
ENSG00000182578.13	3999	4.79
ENSG00000233098.9	19499	6.81
ENSG00000129951.18	15499	5.66
ENSG00000143303.12	9499	22.67
ENSG00000261265.1	10499	1.9
ENSG00000107736.20	35499	71.38
ENSG00000200714.1	12999	2.25
ENSG00000115486.12	5999	7.06
ENSG00000237513.2	13499	0.85
ENSG00000241243.3	15499	0.4
ENSG00000280060.1	5999	2.9
ENSG00000078814.15	10999	6.4
ENSG00000164889.14	6499	7.2
ENSG00000204642.14	10499	1.17
ENSG00000143994.14	3999	6.35
ENSG00000187634.12	5499	4.12
ENSG00000079134.12	5999	2.81
ENSG00000198730.9	7499	31.74
ENSG00000259792.1	6499	2.34
ENSG00000279512.1	11999	0.49
ENSG00000279428.1	4499	1.65
ENSG00000169660.16	7999	3.53
ENSG00000115677.17	4999	0.79
ENSG00000205981.8	16999	4.19
ENSG00000283064.1	4499	26.53
ENSG00000254879.1	33999	0.95
ENSG00000129235.10	6999	1.23
ENSG00000078687.17	4999	1.23
ENSG00000201563.1	4499	1.26
ENSG00000110446.11	12999	19.4
ENSG00000141526.16	12499	0.84
ENSG00000257270.1	7499	2.32
ENSG00000256690.1	7999	172.27
ENSG00000283534.1	55499	1.25
ENSG00000006607.14	8499	13.08
ENSG00000268015.1	4999	10.15
ENSG00000285868.1	4499	3.94
ENSG00000272160.1	8999	2.92
ENSG00000156256.15	3999	4.6
ENSG00000287934.1	4499	1.96
ENSG00000212240.1	5499	1.59
ENSG00000146063.20	8499	180.96
ENSG00000173418.11	3999	3.83
ENSG00000213221.5	3999	3.17
ENSG00000241399.7	9499	6.32
ENSG00000224870.7	5499	5.32
ENSG00000206650.1	16499	0.86
ENSG00000164707.15	7499	2.04
ENSG00000196123.13	6999	6.31
ENSG00000111252.10	7999	0.4
ENSG00000105329.9	9499	1.4
ENSG00000224093.5	5499	0.31
ENSG00000141404.16	4499	2.55
ENSG00000224733.1	3999	0.34
ENSG00000163481.8	3999	2.51
ENSG00000259933.6	8499	1.57
ENSG00000260349.1	14499	5.6
ENSG00000197168.13	5499	7.86
ENSG00000104728.16	7499	0.65
ENSG00000257839.1	30499	10.86
ENSG00000256628.3	7499	44.25
ENSG00000253133.2	3999	2.24
ENSG00000258044.1	7999	1.27
ENSG00000131044.17	4499	2.12
ENSG00000226352.2	3999	0.53
ENSG00000117877.10	4499	2.28
ENSG00000109519.13	12499	2.38
ENSG00000166902.5	14499	1.9
ENSG00000105996.7	3999	0.99
ENSG00000248100.2	18499	0.33
ENSG00000179532.12	10499	1.55
ENSG00000207020.1	28999	6.55
ENSG00000260466.1	31999	2.89
