ID	Length	SRR7537190_sorted
ENSG00000280233.1	18999	5707.0
ENSG00000087274.17	4499	2117.0
ENSG00000260349.1	14499	2225.5
ENSG00000126246.10	20499	440.0
ENSG00000139540.12	7999	1125.0
ENSG00000198931.10	5499	196.0
ENSG00000259018.1	3999	55.5
ENSG00000261872.1	9999	177.0
ENSG00000287756.1	121499	2657.5
ENSG00000261731.2	3999	124.5
ENSG00000260798.1	4499	457.5
ENSG00000265678.1	3999	155.5
ENSG00000092330.18	6999	858.5
ENSG00000282917.2	4499	62.0
ENSG00000145198.14	3999	392.0
ENSG00000254263.1	4499	127.5
ENSG00000198089.15	43999	3152.5
ENSG00000260830.1	13499	903.5
ENSG00000233436.7	7499	1944.0
ENSG00000100823.12	3999	202.0
ENSG00000152455.15	6499	223.0
ENSG00000261691.1	13999	435.5
ENSG00000110844.13	7999	302.0
ENSG00000188529.14	5499	2037.5
ENSG00000092203.14	7499	628.0
ENSG00000261663.1	5499	587.0
ENSG00000171174.15	9999	1846.5
ENSG00000184788.13	4999	292.0
ENSG00000275638.1	5499	149.5
ENSG00000280299.1	5499	60.5
ENSG00000139278.10	7999	581.5
ENSG00000120437.8	10499	5646.5
ENSG00000197989.14	4999	159.5
ENSG00000250764.1	16499	867.5
ENSG00000263859.1	12499	1198.5
ENSG00000050344.9	13999	6204.5
ENSG00000248881.1	13999	599.0
ENSG00000167395.10	10999	2245.5
ENSG00000183324.11	15999	2417.0
ENSG00000171757.15	3999	29.0
ENSG00000075975.16	5999	678.5
ENSG00000248256.1	20999	1308.5
ENSG00000171790.15	11499	605.0
ENSG00000118046.15	4499	54.5
ENSG00000128463.13	3999	157.5
ENSG00000109084.14	3999	321.0
ENSG00000076706.17	10499	895.5
ENSG00000103024.7	17999	1490.5
ENSG00000145888.10	49499	8604.0
ENSG00000141367.11	9999	523.0
ENSG00000267281.2	5499	360.5
ENSG00000272770.1	13999	2203.0
ENSG00000261471.1	5499	44.5
ENSG00000238364.1	7499	113.0
ENSG00000228343.1	4499	2439.5
ENSG00000229873.1	4499	344.0
ENSG00000155666.11	6499	522.5
ENSG00000269102.1	4499	82.5
ENSG00000173401.9	7999	81.0
ENSG00000230530.2	3999	61.5
ENSG00000172543.8	4999	1280.0
ENSG00000201813.1	13999	731.5
ENSG00000249609.1	8999	128.0
ENSG00000254960.2	6999	73.5
ENSG00000157570.11	4999	102.5
ENSG00000168906.13	15999	1442.5
ENSG00000201157.1	4499	82.0
ENSG00000222224.1	5499	321.0
ENSG00000069943.10	5999	1746.5
ENSG00000145428.14	10499	534.5
ENSG00000262831.1	16999	18250.5
ENSG00000268810.1	6999	205.5
ENSG00000257653.1	21499	1431.0
ENSG00000233223.3	25499	17949.0
ENSG00000272072.1	8499	399.5
