ID	Length	SRR7537192_sorted
ENSG00000260107.1	11499	2.83
ENSG00000207291.1	10999	4.66
ENSG00000264630.5	95499	1.52
ENSG00000267458.1	5499	149.39
ENSG00000224020.1	29499	0.7
ENSG00000123154.12	6499	4.46
ENSG00000269365.2	3999	0.55
ENSG00000164764.11	18999	2.37
ENSG00000260349.1	14499	5.0
ENSG00000261267.1	3999	0.34
ENSG00000257225.1	7999	0.97
ENSG00000187144.11	3999	0.27
ENSG00000232220.2	3999	3.38
ENSG00000278811.4	4499	1.09
ENSG00000268149.1	3999	1.22
ENSG00000197798.9	5999	7.71
ENSG00000218739.10	4499	2.71
ENSG00000130706.13	4999	1.4
ENSG00000173349.5	15999	2.6
ENSG00000164171.11	3999	3.71
ENSG00000167614.13	11499	0.64
ENSG00000179528.16	13999	1.06
ENSG00000119681.12	3999	2.06
ENSG00000160959.8	5499	1.5
ENSG00000165462.5	14999	5.44
ENSG00000139537.11	8499	7.82
ENSG00000227253.3	5999	1.25
ENSG00000006530.18	11499	7.94
ENSG00000177182.11	17499	6.1
ENSG00000204758.8	4499	38.35
ENSG00000286337.1	20499	2.68
ENSG00000124140.13	29999	2.45
ENSG00000182578.13	26999	2.53
ENSG00000226698.1	7999	1.93
ENSG00000130429.15	13999	12.28
ENSG00000273302.1	19999	1.52
ENSG00000259972.3	7999	6.17
ENSG00000253754.1	21499	11.9
ENSG00000273212.1	9499	1.6
ENSG00000141551.14	9999	12.58
ENSG00000228988.1	5499	0.41
ENSG00000264044.1	8499	8.72
ENSG00000173531.15	9999	5.74
ENSG00000224328.1	4999	1.34
ENSG00000266721.1	5499	5.01
ENSG00000146063.20	8499	89.1
ENSG00000035681.9	25999	8.33
ENSG00000254064.1	9499	2.42
ENSG00000244701.1	3999	1.62
ENSG00000144857.14	4499	1.12
ENSG00000171160.18	5999	1.5
ENSG00000095380.11	4999	3.37
ENSG00000154175.17	20499	7.36
ENSG00000125741.4	7499	5.65
ENSG00000226876.3	46999	0.48
ENSG00000206880.1	20999	8.55
ENSG00000280927.1	4499	0.75
ENSG00000099822.3	16499	2.94
ENSG00000117281.15	16999	3.55
ENSG00000016864.18	8499	20.94
ENSG00000230155.6	20999	1.96
ENSG00000259572.7	4999	1.45
ENSG00000138111.14	8999	10.31
ENSG00000276988.1	4999	4.4
ENSG00000173638.19	11999	4.52
ENSG00000163453.11	18499	7.06
ENSG00000238197.6	14499	3.42
ENSG00000239102.1	8499	0.48
ENSG00000254162.1	4999	0.51
ENSG00000187325.5	25499	17.63
ENSG00000184602.6	5999	1.37
ENSG00000200594.1	5499	2.2
ENSG00000175602.3	8999	3.12
ENSG00000087274.17	4499	9.29
ENSG00000202434.1	6499	14.26
ENSG00000188613.7	41999	16.16
ENSG00000122877.16	7499	8.06
ENSG00000143257.11	3999	1.54
ENSG00000088766.11	14499	4.16
ENSG00000196387.9	7999	0.43
ENSG00000279689.1	22999	3.26
ENSG00000166037.11	10499	5.6
ENSG00000264558.1	32999	16.42
ENSG00000270871.1	7499	1.79
ENSG00000254907.1	8499	4.96
ENSG00000224407.1	13499	5.49
ENSG00000280416.1	9999	4.41
ENSG00000178184.16	3999	0.69
ENSG00000108107.14	4499	6.09
ENSG00000244513.7	8499	3.26
ENSG00000158062.20	19999	4.5
ENSG00000238171.1	16499	1.85
ENSG00000169962.5	13999	4.83
ENSG00000280055.1	16499	0.78
ENSG00000120699.13	5499	1.04
ENSG00000069764.9	8999	4.44
ENSG00000251370.1	13999	0.61
ENSG00000235724.10	6499	0.39
ENSG00000222614.1	9499	1.29
ENSG00000262633.2	6999	3.06
ENSG00000111752.11	8499	11.52
ENSG00000261236.8	11999	0.77
ENSG00000252581.1	16999	3.37
ENSG00000157045.9	6499	13.8
ENSG00000172209.6	11499	0.53
ENSG00000278192.1	11499	0.57
ENSG00000269106.1	7499	1.37
ENSG00000105723.12	5999	2.4
ENSG00000154305.18	8499	6.51
ENSG00000236467.8	3999	0.49
ENSG00000165804.16	4499	3.25
ENSG00000179886.5	6499	3.09
ENSG00000269161.1	6999	2.45
ENSG00000264211.1	13999	0.85
ENSG00000002745.13	55499	2.34
ENSG00000266341.1	5499	18.12
ENSG00000134775.15	27999	1.83
ENSG00000272758.6	8999	0.98
ENSG00000231609.7	15999	1.29
ENSG00000135052.16	12499	4.29
ENSG00000126246.10	20499	0.95
ENSG00000195401.2	11999	0.62
ENSG00000266053.2	18999	1.84
ENSG00000269680.1	5999	5.53
ENSG00000276096.1	3999	0.41
ENSG00000198026.8	6499	1.05
ENSG00000273218.1	3999	0.33
ENSG00000201850.1	3999	0.35
ENSG00000287629.1	8999	0.89
ENSG00000119231.11	7499	11.75
ENSG00000106290.15	5499	1.75
ENSG00000108557.19	10999	1.41
ENSG00000093144.19	21999	1.55
ENSG00000273611.5	35499	3.43
ENSG00000246477.3	6499	0.59
ENSG00000100918.13	13499	5.81
ENSG00000151655.19	9499	0.69
ENSG00000112237.13	11999	0.96
ENSG00000000457.14	7499	0.99
ENSG00000222046.2	5499	1.54
ENSG00000139540.12	7999	3.75
ENSG00000073169.14	10999	1.95
ENSG00000237380.7	17499	4.29
ENSG00000154917.11	10999	6.52
ENSG00000224384.1	4499	1.42
ENSG00000050344.9	13999	72.5
ENSG00000258504.2	6499	0.62
ENSG00000243762.1	30499	2.26
ENSG00000187634.12	14999	11.41
ENSG00000229190.1	11499	3.3
ENSG00000179151.13	14499	2.17
ENSG00000271843.1	12999	1.99
ENSG00000254317.1	8999	4.05
ENSG00000132005.9	7999	2.58
ENSG00000114416.18	6999	3.02
ENSG00000136827.12	8999	4.56
ENSG00000167535.8	9499	10.72
ENSG00000258048.1	17499	2.13
ENSG00000105982.16	7999	8.66
ENSG00000117133.11	8499	5.3
ENSG00000075856.12	6499	1.27
ENSG00000125355.15	6999	5.36
ENSG00000060237.17	6999	1.33
ENSG00000261759.1	6499	8.31
ENSG00000277066.1	3999	2.37
ENSG00000100652.5	8499	11.77
ENSG00000143373.18	5499	2.7
ENSG00000254315.1	9999	1.68
ENSG00000145642.12	6499	3.29
ENSG00000262112.1	7499	1.85
ENSG00000226754.2	9499	2.14
ENSG00000213221.5	3999	3.12
ENSG00000104320.13	30999	5.14
ENSG00000132386.11	7499	1.24
ENSG00000140525.17	17499	3.57
ENSG00000159147.18	15999	11.79
ENSG00000103051.19	4499	0.92
ENSG00000203993.5	8999	1.81
ENSG00000266173.7	5499	0.66
ENSG00000187595.16	3999	5.31
ENSG00000121989.15	9999	3.44
ENSG00000140403.12	17499	2.6
ENSG00000143947.13	4499	4.51
ENSG00000134183.11	26499	8.99
ENSG00000232600.3	4499	4.73
ENSG00000131238.17	31499	12.18
ENSG00000174871.11	3999	4.15
ENSG00000280143.1	9999	0.54
ENSG00000179091.5	6499	5.73
ENSG00000132507.18	6999	6.18
ENSG00000184956.16	3999	1.73
ENSG00000177239.15	5999	11.29
ENSG00000162552.15	4499	0.31
ENSG00000125812.16	4999	1.45
ENSG00000150938.10	18999	2.0
ENSG00000134077.16	10499	3.48
ENSG00000160226.16	28999	4.12
ENSG00000252915.1	4499	19.27
ENSG00000091947.10	3999	0.34
ENSG00000248839.1	6499	2.46
ENSG00000113593.12	4499	1.37
ENSG00000253187.2	8499	1.71
ENSG00000113758.13	8499	0.76
ENSG00000273055.1	24009	5.64
ENSG00000135749.19	28499	1.57
ENSG00000205643.11	8999	1.68
ENSG00000261668.1	13499	3.05
ENSG00000228172.5	9499	1.6
ENSG00000179526.17	3999	25.51
ENSG00000167778.9	9499	1.23
ENSG00000277127.1	4499	2.17
ENSG00000261240.1	5499	0.99
ENSG00000108592.17	4499	18.96
ENSG00000228368.1	11499	0.63
ENSG00000285813.1	12499	2.23
ENSG00000265739.1	4499	1.02
ENSG00000116161.17	5499	3.17
ENSG00000095319.14	8999	4.01
ENSG00000259780.3	7999	2.81
ENSG00000233098.9	23499	5.5
ENSG00000229111.1	6499	1.7
ENSG00000261691.1	13499	1.33
ENSG00000101082.14	6999	11.23
ENSG00000171385.9	5999	3.91
ENSG00000128564.7	7499	7.92
ENSG00000267783.1	7999	10.43
ENSG00000143314.12	8499	1.05
ENSG00000253022.1	10499	1.8
ENSG00000259732.1	5999	10.19
ENSG00000274387.1	10499	1.39
ENSG00000265354.4	26999	9.91
ENSG00000232564.3	9999	0.61
ENSG00000285444.1	4499	1.1
ENSG00000042781.13	17999	4.91
ENSG00000136231.14	10999	3.08
ENSG00000241665.3	4999	0.41
ENSG00000154479.13	11499	9.21
ENSG00000148935.11	14999	2.43
ENSG00000272087.1	6499	6.27
ENSG00000234281.5	4499	1.16
ENSG00000196361.10	15499	12.17
ENSG00000004487.16	10999	6.82
ENSG00000200560.1	5499	0.37
ENSG00000279530.2	5999	0.77
ENSG00000259202.1	76999	1.47
ENSG00000047315.16	9999	19.28
ENSG00000264056.1	20499	1.87
ENSG00000156976.17	16999	4.53
ENSG00000260194.1	4499	0.39
ENSG00000200674.1	9499	4.4
ENSG00000156150.9	6499	2.69
ENSG00000141378.14	20499	10.7
ENSG00000059915.17	8499	6.44
ENSG00000253015.1	40499	19.15
ENSG00000120437.8	10499	38.74
ENSG00000105856.14	11499	2.36
ENSG00000287735.1	11999	1.15
ENSG00000260428.3	4499	0.48
ENSG00000241878.11	16499	0.93
ENSG00000164823.11	32499	8.47
ENSG00000096746.17	4499	3.21
ENSG00000137073.21	4999	5.4
ENSG00000168676.11	11499	1.96
ENSG00000078699.21	17499	1.78
ENSG00000257878.1	4499	2.58
ENSG00000114054.14	6499	3.73
ENSG00000164597.13	6499	1.85
ENSG00000271889.1	5999	0.46
ENSG00000238258.1	6999	0.27
ENSG00000106346.11	10499	2.99
ENSG00000197989.14	15499	1.42
ENSG00000183066.14	5499	3.99
ENSG00000196562.14	6499	3.88
ENSG00000262372.1	10499	0.64
ENSG00000224138.1	32499	2.67
ENSG00000222501.1	3999	1.02
ENSG00000266412.5	16999	3.59
ENSG00000226803.9	16499	4.18
ENSG00000263393.1	9499	0.63
ENSG00000286843.1	26499	1.18
ENSG00000231851.6	4999	1.44
ENSG00000164211.13	12499	3.08
ENSG00000271870.1	5999	0.86
ENSG00000082996.19	8999	23.33
ENSG00000271981.1	11499	8.07
ENSG00000288063.1	6499	2.85
ENSG00000187118.13	17999	1.51
ENSG00000186603.5	6999	1.59
ENSG00000104679.11	12499	18.76
ENSG00000167978.17	4499	4.07
ENSG00000215458.8	16499	3.01
ENSG00000220925.2	4499	0.99
ENSG00000266318.1	8999	1.21
ENSG00000279009.1	15999	7.2
ENSG00000283118.1	6999	0.34
ENSG00000023318.8	28999	2.31
ENSG00000157827.20	29999	10.32
ENSG00000253388.1	9499	0.4
ENSG00000253559.1	10499	4.55
ENSG00000163521.16	6499	3.7
ENSG00000204348.10	4499	2.78
ENSG00000279345.1	5999	0.37
ENSG00000197670.6	17999	4.89
ENSG00000258908.1	5499	2.22
ENSG00000174171.6	11999	4.51
ENSG00000252061.1	21499	7.54
ENSG00000273183.1	10918	1.01
ENSG00000251892.1	16499	0.97
ENSG00000011009.11	5499	8.03
ENSG00000089723.10	4499	2.96
ENSG00000254397.1	8999	7.04
ENSG00000227279.1	35499	4.83
ENSG00000266304.1	4499	0.29
ENSG00000232814.2	20499	7.11
ENSG00000164620.9	9499	1.31
ENSG00000187260.15	4999	1.22
ENSG00000157483.8	8999	1.8
ENSG00000133030.21	3999	1.11
ENSG00000276952.1	8499	3.5
ENSG00000258430.1	24999	2.76
