Tag Length (Average tag length = 68.632917)	Fraction of Tags
0	0.000000
1	0.000412
2	0.000404
3	0.000415
4	0.000404
5	0.000413
6	0.000446
7	0.000421
8	0.000445
9	0.000438
10	0.002935
11	0.003141
12	0.003182
13	0.002998
14	0.002984
15	0.003163
16	0.003059
17	0.003022
18	0.003290
19	0.003107
20	0.003157
21	0.003219
22	0.003024
23	0.003036
24	0.003162
25	0.003108
26	0.003132
27	0.003308
28	0.003207
29	0.003163
30	0.003293
31	0.003145
32	0.003116
33	0.003239
34	0.003066
35	0.003052
36	0.003270
37	0.003183
38	0.003138
39	0.003238
40	0.003079
41	0.003090
42	0.003325
43	0.003117
44	0.003235
45	0.003339
46	0.003178
47	0.003211
48	0.003337
49	0.003192
50	0.003161
51	0.003323
52	0.003246
53	0.003254
54	0.003395
55	0.003278
56	0.003315
57	0.003434
58	0.003257
59	0.003230
60	0.003348
61	0.003184
62	0.003223
63	0.003250
64	0.003361
65	0.003632
66	0.003471
67	0.002319
68	0.003529
69	0.004465
70	0.004788
71	0.005061
72	0.006009
73	0.005937
74	0.017948
75	0.027411
76	0.736128
